"Documentation","Dokumentation"
"<div class='novalnet-payment-logo'></div><div class='novalnet-payment-text'>Secured and trusted means of accepting all payment methods supported worldwide. <br>Novalnet provides the most convenient way to increase your sales and deliver seamless checkout experience for your customers.</div>","<div class='novalnet-payment-logo'></div><div class='novalnet-payment-text'>Bieten Sie Ihren Kunden auf sichere und vertrauenswürdige Weise alle weltweit unterstützten Zahlungsarten. <br>Mit Novalnet können Sie Ihre Verkäufe steigern und Ihren Kunden ein ansprechendes Zahlungserlebnis aus einem Guss bieten.</div>"
"Novalnet webhook added order status %1","Novalnet-Webhook hat den Bestellstatus %1 übermittelt"
"Novalnet webhook set status (%1) for Order ID = %2","Novalnet-Webhook hat den Status für Bestellnummer %2 auf %1 gesetzt"
"Please transfer the amount of %1 to the following account on or before %2","Bitte überweisen Sie den Betrag von %1 spätestens bis zum %2 auf das folgende Konto"
"Please transfer the amount of %1 to the following account","Bitte überweisen Sie den Betrag von %1 auf das folgende Konto"
"Only EUR currency allowed %1","Die Zahlung kann nicht ausgeführt werden, weil die Voraussetzungen für die %1 nicht erfüllt sind (Nur EUR als Währung erlaubt)"
"Minimum order amount should be %1","Die Zahlung kann nicht ausgeführt werden, weil die Voraussetzungen für die %1 nicht erfüllt sind (Mindestbestellwert 9.99 EUR)"
"Only DE, AT, CH countries allowed %1","Die Zahlung kann nicht ausgeführt werden, weil die Voraussetzungen für die Zahlungsgarantie nicht erfüllt sind (nur Deutschland, Österreich oder die Schweiz sind zulässig)"
"Please use the following payment reference details to pay the amount of %1 at a Multibanco ATM or through your internet banking.","Bitte verwenden Sie die folgende Zahlungsreferenz, um den Betrag von %1 an einem Multibanco-Geldautomaten oder über Ihr Onlinebanking zu bezahlen."
"Partner Payment Reference: %1","Partner-Zahlungsreferenz: %1"
"DD.MM.YYYY","TT.MM.JJJJ"
"Instalment cancel","Raten stornier"
"TestMode","Testmodus"
"Card type not accepted, try using another card type","Kartentyp wird nicht akzeptiert, versuchen Sie es mit einem anderen Kartentyp"
"In order to use this option you must have billing agreement option enabled in your PayPal account. Please contact your account manager at PayPal.","Um diese Option zu verwenden, müssen Sie die Option Billing Agreement (Zahlungsvereinbarung) in Ihrem PayPal-Konto aktiviert haben. Kontaktieren Sie dazu bitte Ihren Kundenbetreuer bei PayPal."
"Payment details stored during the checkout process can be used for future payments","Zahlungsdaten, die während des Bestellvorgangs gespeichert werden, können für zukünftige Zahlungen verwendet werden"
"Failed","fehlgeschlagen"
"Completed","abgeschlossen"
"Please enter valid URL","Geben Sie ein gültiges URL"
"To setup your shop Notification / Webhook URL, you must add the following webhook endpoint in this format <b>{Shop_url/rest/V1/novalnet/callback}</b> in below <b>Notification / Webhook URL</b> field and click on <b>Configure</b> button to receive notification about transactions.","Um eine Ihr Laden Benachrichtigungs- / Webhook-URL festlegen müssen im, hinzufügen den folgenden Webhook-Ausgangspunkt im Format <b>{Shop_url/rest/V1/novalnet/callback}</b> in unten <b>Benachrichtigungs- / Webhook-URL</b> Feld und klicken Sie auf <b>Konfigurieren</b> Schaltfläche an erhalten benachrichtigung über Transaktionen."
"Save for future purchase","Speichern für zukünftige Einkäufe"
"More security with the new Payment Policy (PSD2) Info","Mehr Sicherheit mit der neuen Zahlungsrichtlinie (PSD2)"
"European card issuing banks often requires a password or some other form of authentication (EU Payment Services Directive 'PSD2') for secure payment. If the payment is not successful, you can try again. If you have any further questions, please contact your bank.","Europäische kartenausgebende Banken verlangen häufig für die sichere Zahlung ein Passwort oder eine andere Form der Authentifizierung (EU-Zahlungsdiensterichtlinie 'PSD2'). Falls die Zahlung nicht erfolgreich ist, können Sie es im Anschluss erneut versuchen. Bei weiteren Fragen kontaktieren Sie bitte Ihre Bank."
"Enforce 3D secure payment outside EU","3D-Secure-Zahlungen außerhalb der EU erzwingen"
"By enabling this option, all payments from cards issued outside the EU will be authenticated via 3DS 2.0 SCA.","Wenn Sie diese Option aktivieren, werden alle Zahlungen mit Karten, die außerhalb der EU ausgegeben wurden, mit der starken Kundenauthentifizierung (Strong Customer Authentication, SCA) von 3D-Secure 2.0 authentifiziert."
"Your customers can checkout using Apple Pay from any page in your web store","Ihre Kunden können mit Apple Pay von jeder Seite Ihres Webshops aus bezahlen."
"This is the text that appears as PAY 'SELLER NAME' in the Apple Pay payment sheet.","Dieser Text erscheint im Apple Pay-Bezahlfenster als PAY 'VERKÄUFERNAME'."
"Button Design","Button-Design"
"Seller Name","Verkäufer"
"Button Type","Button-Typ"
"Buy","Kaufen"
"Donate","Spenden"
"Book","Buchen"
"Contribute","Beitragen"
"Check out","Bezahlen"
"Order","Bestellen"
"Subscribe","Abonnieren"
"Tip","Trinkgeld"
"Rent","Mieten"
"Reload","Aufladen"
"Support","Unterstützen"
"Button Theme","Button-Farbe"
"Button Height","Button-Höhe"
"Range from 30 to 64 pixels","zwischen 30 und 64 Pixel"
"Button Corner Radius","Abrundungsgrad der Ecken des Buttons"
"Range from 0 to 10 pixels","zwischen 0 und 10 Pixel"
"Display the Apple Pay Button on","Apple Pay-Button anzeigen auf"
"The selected Pages Will Display The Apple Pay Button, Just Below The Proceed To Checkout Button","Die Apple Pay-Schaltfläche wird auf den ausgewählten Seiten direkt unter der Schaltfläche "Zur Kasse gehen" angezeigt."
"Shopping cart page","Warenkorb"
"Mini cart page","Mini-Warenkorb"
"Product page","Produktseite"
"Guest checkout page","Checkout-Seite für Gastbestellungen"
"Express Checkout","Express-Checkout"
"Amount will be booked from your card after successful authentication","Der Betrag wird nach erfolgreicher Authentifizierung von Ihrer Karte abgebucht."
"Dark","Dunkel"
"Light","Hell"
"Light-Outline","An Hintergrund anpassen"
